pod,slot,item,quantity_in_that_slot
1,1,11070051001,3
1,2,11070051001,3
1,3,11070051001,3
1,4,11070051001,3
1,5,11070051001,3
1,6,11070051001,3
1,7,11070051001,3
1,8,11070051001,3
1,9,11070051001,3
1,10,11076928001,2
1,11,12102095001,16
1,12,14002003001,5
1,13,14002003001,1
1,14,14010031001,3
1,15,14010031001,3
1,16,14010031001,3
1,17,14010031001,3
1,18,14010031001,3
1,19,14010031001,3
1,20,14010031001,3
1,21,14010031001,3
1,22,14010031001,3
1,23,14010031001,3
1,24,14010031001,3
1,25,14010031001,3
1,26,14010031001,3
1,27,14010031001,3
1,28,14010031001,3
1,29,14010031001,3
1,30,14010031001,3
1,31,14010031001,1
1,32,14112021001,5
1,33,14112021001,5
1,34,14112021001,1
1,35,14130054001,6
1,36,14130054001,6
1,37,14130054001,6
1,38,14130054001,6
1,39,14130054001,2
1,40,14244031001,4
2,1,14011052001,3
2,2,14011052001,3
2,3,14011052001,3
2,4,14011052001,3
2,5,14011052001,3
2,6,14011052001,3
2,7,14011052001,3
2,8,14011052001,3
2,9,14011052001,3
2,10,14011052001,3
2,11,14011052001,3
2,12,14011052001,3
2,13,14011052001,3
2,14,14011052001,3
2,15,14011052001,3
2,16,14011052001,3
2,17,14011052001,3
2,18,14011052001,3
2,19,14011052001,3
2,20,14011052001,3
2,21,14011052001,3
2,22,14011052001,3
2,23,14011052001,3
2,24,14011052001,3
2,25,14011052001,3
2,26,14011052001,3
2,27,14011052001,3
2,28,14011052001,3
2,29,14011052001,3
2,30,14011052001,3
2,31,14011052001,3
2,32,14011052001,3
2,33,14011052001,3
2,34,14011052001,3
2,35,14011052001,3
2,36,14011052001,3
2,37,14011052001,3
2,38,14011052001,3
2,39,14011052001,3
2,40,14011052001,3
3,1,11075004001,6
3,2,12102996001,4
3,3,12130052001,2
3,4,12130052001,2
3,5,12130052001,2
3,6,12130052001,2
3,7,12130052001,2
3,8,12130052001,2
3,9,12130052001,2
3,10,12130052001,2
3,11,12130052001,2
3,12,14010019001,11
3,13,14010019001,1
3,14,14104002001,3
3,15,14104002001,3
3,16,14104002001,3
3,17,14104002001,3
3,18,14104002001,3
3,19,14104002001,3
3,20,14104002001,3
3,21,14104002001,3
3,22,14104002001,3
3,23,14104002001,3
3,24,14104002001,3
3,25,14104002001,3
3,26,14104002001,3
3,27,14104002001,3
3,28,14104002001,3
3,29,14104002001,3
3,30,14104002001,3
3,31,14104002001,2
3,32,14111041001,3
3,33,14111041001,3
3,34,14111041001,1
3,35,14130009001,5
3,36,14130009001,5
3,37,14130009001,5
3,38,14130009001,5
3,39,14130009001,3
3,40,14244046001,1
4,1,12201103001,1
4,2,12201103001,1
4,3,12201103001,1
4,4,12201103001,1
4,5,12201103001,1
4,6,12201103001,1
4,7,12201103001,1
4,8,12201103001,1
4,9,12201103001,1
4,10,12201103001,1
4,11,12201103001,1
4,12,12201103001,1
4,13,12201103001,1
4,14,12201103001,1
4,15,12201103001,1
4,16,12201103001,1
4,17,12201103001,1
4,18,12201103001,1
4,19,12201103001,1
4,20,12201103001,1
4,21,12201103001,1
4,22,12201103001,1
4,23,12201103001,1
4,24,12201103001,1
4,25,12201103001,1
4,26,12201103001,1
4,27,12201103001,1
4,28,12201103001,1
4,29,12201103001,1
4,30,12201103001,1
