pod,slot,item,quantity_in_that_slot
1,1,10031007001,5
1,2,10031007001,5
1,3,10031007001,5
1,4,10031007001,5
1,5,10031007001,5
1,6,10031007001,5
1,7,10031007001,5
1,8,10031007001,5
1,9,10031007001,5
1,10,10031007001,5
1,11,10031007001,5
1,12,10031007001,5
1,13,10031007001,5
1,14,10031007001,5
1,15,10031007001,5
1,16,10031007001,5
1,17,10031007001,5
1,18,10031007001,3
1,19,11070051001,3
1,20,11070051001,3
1,21,11070051001,3
1,22,11070051001,3
1,23,11070051001,3
1,24,11070051001,3
1,25,11070051001,3
1,26,11070051001,3
1,27,11070051001,3
1,28,11076890001,3
1,29,11100015001,6
1,30,11103110001,6
1,31,12005084001,5
1,32,12005084002,5
1,33,12005084004,5
1,34,12005084005,5
1,35,12005084006,5
1,36,12005084009,5
1,37,12103004001,3
1,38,14010079001,11
1,39,14010079001,7
1,40,14244028001,9
2,1,12201099001,2
2,2,12201099001,2
2,3,12201099001,2
2,4,12201099001,2
2,5,12201099001,2
2,6,12201099001,2
2,7,12201099001,2
2,8,12201099001,2
2,9,12201099001,2
2,10,12201099001,2
2,11,12201099001,2
2,12,12201099001,2
2,13,12201099001,2
2,14,12201099001,2
2,15,12201099001,2
2,16,12201099001,2
2,17,12201099001,2
2,18,12201099001,2
2,19,12201099001,2
2,20,12201099001,2
2,21,12201104001,1
2,22,12201104001,1
2,23,12201104001,1
2,24,12201104001,1
2,25,12201104001,1
2,26,12201104001,1
2,27,12201104001,1
2,28,12201104001,1
2,29,12201104001,1
2,30,12201104001,1
2,31,12201104001,1
2,32,12201104001,1
2,33,12201104001,1
2,34,12201104001,1
2,35,12201104001,1
2,36,12201104001,1
2,37,12201104001,1
2,38,12201104001,1
2,39,12201104001,1
2,40,12201104001,1
3,1,11100010001,5
3,2,12102996001,4
3,3,12130052001,2
3,4,12130052001,2
3,5,12130052001,2
3,6,12130052001,2
3,7,12130052001,2
3,8,12130052001,2
3,9,12130052001,2
3,10,12130052001,2
3,11,12130052001,2
3,12,14002003001,5
3,13,14002003001,1
3,14,14010031001,3
3,15,14010031001,3
3,16,14010031001,3
3,17,14010031001,3
3,18,14010031001,3
3,19,14010031001,3
3,20,14010031001,3
3,21,14010031001,3
3,22,14010031001,3
3,23,14010031001,3
3,24,14010031001,3
3,25,14010031001,3
3,26,14010031001,3
3,27,14010031001,3
3,28,14010031001,3
3,29,14010031001,3
3,30,14010031001,3
3,31,14010031001,1
3,32,14111041001,3
3,33,14111041001,3
3,34,14111041001,1
3,35,14131040001,4
3,36,14131040001,4
3,37,14131040001,4
3,38,14131040001,4
3,39,14131040001,1
3,40,14244906001,4
4,1,14503003001,4
4,2,14503003001,4
4,3,14503003001,4
4,4,14503003001,4
4,5,14503003001,4
4,6,14503003001,4
4,7,14503003001,4
4,8,14503003001,4
4,9,14503003001,4
4,10,14503003001,4
4,11,14503003001,4
4,12,14503003001,4
4,13,14503003001,4
4,14,14503003001,4
4,15,14503003001,4
4,16,14503003001,4
4,17,14503003001,4
4,18,14503003001,4
4,19,14503003001,4
4,20,14503003001,4
4,21,14503003001,4
4,22,14503003001,4
4,23,14503003001,4
4,24,14503003001,4
4,25,14503003001,4
4,26,14503003001,4
4,27,14503003001,4
4,28,14503003001,4
4,29,14503003001,4
4,30,14503003001,4
4,31,14503003001,4
4,32,14503003001,4
4,33,14503003001,4
4,34,14503003001,4
4,35,14503003001,4
4,36,14503003001,4
4,37,14503003001,4
4,38,14503003001,4
4,39,14503003001,4
4,40,14503003001,4
5,1,10041067001,5
5,2,10041067001,5
5,3,10041067001,5
5,4,10041067001,5
5,5,10041067001,5
5,6,10041067001,5
5,7,10041067001,5
5,8,10041067001,5
5,9,10041067001,5
5,10,10041067001,5
5,11,10041067001,5
5,12,10041067001,5
5,13,10041067001,5
5,14,10041067001,5
5,15,10041067001,5
5,16,10041067001,5
5,17,10041067001,5
5,18,10041067001,5
5,19,10041067001,5
5,20,10041067001,5
5,21,10041067001,5
5,22,10041067001,5
5,23,10041067001,5
5,24,10041067001,5
5,25,10041067001,5
5,26,10041067001,5
5,27,10041067001,5
5,28,10041067001,5
5,29,10041067001,5
5,30,10041067001,5
5,31,10041067001,5
5,32,10041067001,5
5,33,10041067001,5
5,34,10041067001,5
5,35,10041067001,5
5,36,10041067001,5
5,37,10041067001,5
5,38,10041067001,5
5,39,10041067001,5
5,40,10041067001,5
6,1,12201099001,2
6,2,12201099001,2
6,3,12201099001,2
6,4,12201099001,2
6,5,12201099001,2
6,6,12201099001,2
6,7,12201099001,2
6,8,12201099001,2
6,9,12201099001,2
6,10,12201099001,2
6,11,12201099001,2
6,12,12201099001,2
6,13,12201099001,2
6,14,12201099001,2
6,15,12201099001,2
6,16,12201099001,2
6,17,12201099001,2
6,18,12201099001,2
6,19,12201099001,2
6,20,12201099001,2
6,21,12201104001,1
6,22,12201104001,1
6,23,12201104001,1
6,24,12201104001,1
6,25,12201104001,1
6,26,12201104001,1
6,27,12201104001,1
6,28,12201104001,1
6,29,12201104001,1
6,30,12201104001,1
6,31,12201104001,1
6,32,12201104001,1
6,33,12201104001,1
6,34,12201104001,1
6,35,12201104001,1
6,36,12201104001,1
6,37,12201104001,1
6,38,12201104001,1
6,39,12201104001,1
6,40,12201104001,1
7,1,12201103001,1
7,2,12201103001,1
7,3,12201103001,1
7,4,12201103001,1
7,5,12201103001,1
7,6,12201103001,1
7,7,12201103001,1
7,8,12201103001,1
7,9,12201103001,1
7,10,12201103001,1
7,11,12201103001,1
7,12,12201103001,1
7,13,12201103001,1
7,14,12201103001,1
7,15,12201103001,1
7,16,12201103001,1
7,17,12201103001,1
7,18,12201103001,1
7,19,12201103001,1
7,20,12201103001,1
7,21,12201103001,1
7,22,12201103001,1
7,23,12201103001,1
7,24,12201103001,1
7,25,12201103001,1
7,26,12201103001,1
7,27,12201103001,1
7,28,12201103001,1
7,29,12201103001,1
7,30,12201103001,1
7,31,12201103001,1
7,32,12201103001,1
7,33,12201103001,1
7,34,12201103001,1
7,35,12201103001,1
7,36,12201103001,1
7,37,12201103001,1
7,38,12201103001,1
7,39,12201103001,1
7,40,12201103001,1
8,1,12201103001,1
8,2,12201103001,1
8,3,12201103001,1
8,4,12201103001,1
8,5,12201103001,1
8,6,12201103001,1
8,7,12201103001,1
8,8,12201103001,1
8,9,12201103001,1
8,10,12201103001,1
8,11,12201103001,1
8,12,12201103001,1
8,13,12201103001,1
8,14,12201103001,1
8,15,12201103001,1
8,16,12201103001,1
8,17,12201103001,1
8,18,12201103001,1
8,19,12201103001,1
8,20,12201103001,1
8,21,12201103001,1
8,22,12201103001,1
8,23,12201103001,1
8,24,12201103001,1
8,25,12201103001,1
8,26,12201103001,1
8,27,12201103001,1
8,28,12201103001,1
8,29,12201103001,1
8,30,12201103001,1
