iteration,best_objective
0,5.43310022354126
1,5.796500205993652
2,5.796500205993652
3,5.796500205993652
4,5.8850998878479
5,6.201399803161621
6,6.201399803161621
7,6.233400344848633
8,6.26300048828125
9,6.378100395202637
10,6.378100395202637
11,6.378100395202637
12,6.472899913787842
13,6.472899913787842
14,6.472899913787842
15,6.474300384521484
16,6.474300384521484
17,6.510000228881836
18,6.953999996185303
19,6.953999996185303
20,6.953999996185303
21,6.953999996185303
22,6.953999996185303
23,6.953999996185303
